Cluster,pPr30,pPr10,pPr05,pIn0.5,pIn1,pIn3,pCp12,pCp20,pCp32,pClD,pClF,pClE,pCnSl,pCnSp,pCnLk,pBrA,pBrB,pBrC,IPr,Iin,ICp,ICl,ICn,IBr,I*pPr30,I*pPr10,I*pPr05,I*pIn0.5,I*pIn1,I*pIn3,I*pCp12,I*pCp20,I*pCp32,I*pClD,I*pClF,I*pClE,I*pCnSl,I*pCnSp,I*pCnLk,I*pBrA,I*pBrB,I*pBrC,income,age,sports,gradschl
0,0.0,-0.05254672743898658,0.0,0.0,0.024643331410055484,0.0,0.14618600520005323,0.04826532872706338,-0.15510140636440495,0.0,0.014601843769341531,0.0,0.0,0.017167720768053497,0.0,0.228533041270605,-0.10598171058018092,-0.2771996481013032,-0.3810879388188022,-0.022686125631468622,0.4975137089760596,-0.2054555931423059,-0.1397766267894834,-0.013502659137932251,-0.3810879388188022,-0.39539127113057515,-0.38108793881880215,-0.022686125631468622,0.006597938609075438,-0.02268612563146867,0.5866237713151321,0.5164923818885233,0.39394560086823466,-0.2054555931423059,-0.18137683417836792,-0.20545559314230583,-0.1397766267894834,-0.1322488911435955,-0.13977662678948335,0.21648236134913634,-0.11410445072546418,-0.30500440770547366,0.03721034549739246,0.00042318861623756284,-0.08057545103923008,-1.08057545103923
1,0.0,0.027042498424365447,0.0,0.0,-0.02052086058580216,0.0,-0.043262476785372816,0.00303908530529576,0.02331602044803887,0.0,-0.011245985359288313,0.0,0.0,-0.022760226131897692,0.0,-0.18615468059198712,0.2374144985766344,-0.22967130091570548,0.08093749608898389,0.06498323064167515,-0.037139372620550545,-0.10206345260632918,-0.08089229590900236,-0.008685478581266573,0.08093749608898389,0.10470077020353963,0.08093749608898389,0.06498323064167515,0.057355480709183705,0.06498323064167506,-0.06655376283916938,-0.04143144665615251,-0.01305282304856595,-0.10206345260632918,-0.10798906482240463,-0.10206345260632906,-0.08089229590900236,-0.12603020191129322,-0.08089229590900236,-0.20497447140097497,0.2277334091305164,-0.22904205978897202,-0.07534913395938052,-0.044756548366862076,-0.5019965555607906,-0.9279652878330718
2,0.0,0.0034666535566122954,0.0,0.0,-0.03307035778421071,0.0,0.025546515162181652,0.014640263693255232,-0.056229821520176644,0.0,0.029616821018755787,0.0,0.0,-0.01700789724280644,0.0,0.05342769519657484,-0.07830251978102074,0.02528249191696792,-0.2881806682644197,-0.027552938671261625,-0.18139650143099106,0.3596208319324865,-0.10281806038472593,0.011442924763407294,-0.2881806682644197,-0.28533040413085714,-0.2881806682644197,-0.027552938671261625,-0.055768891651081065,-0.027552938671261625,-0.1873252559424345,-0.17548663134358394,-0.20900179145139894,0.3596208319324865,0.36910774875079944,0.35962083193248656,-0.10281806038472593,-0.12334911172348391,-0.10281806038472587,0.06437201666721845,-0.07163633501711623,0.041555455927563496,0.08028206725412625,0.061272434280242885,0.4166055976094005,0.3885768740091571
3,0.0,0.009945720765376666,0.0,0.0,0.008556511516600643,0.0,-0.015400564972047923,-0.02890062608523592,0.027441341079750207,0.0,0.005056525863111153,0.0,0.0,0.0004159946739337859,0.0,-0.24212217119982574,-0.16783407837110575,0.2406210841562976,0.23062562738479309,-0.22253097293778928,-0.2486400416586665,-0.11677720116807999,-0.1994598808935174,-0.004958885594638586,0.23062562738479309,0.21926002346028428,0.2306256273847932,-0.22253097293778928,-0.244586307693595,-0.22253097293778928,-0.3283893525928044,-0.2885135010063871,-0.16861427261927972,-0.11677720116807999,-0.1255814493919654,-0.11677720116807992,-0.1994598808935174,-0.2087816016669779,-0.1994598808935174,-0.2522321094724427,-0.16934768927499996,0.23694785092444798,-0.04817608205412062,-0.014235403245597425,-0.39933421366364286,0.10126813690554241
4,0.0,-0.010349047644531699,0.0,0.0,0.010725069225579061,0.0,-0.053972047004849796,0.0049059363739676195,0.04199823341579297,0.0,-0.01613277320682689,0.0,0.0,0.060992582990210535,0.0,0.192994715891616,-0.0676444515989642,-0.19557625232749806,-0.3377849021489403,-0.07811249223227065,-0.13780570830422367,-0.1728415305161464,0.4244005659397145,0.013188664787683779,-0.3377849021489403,-0.34551901057244905,-0.33778490214894025,-0.07811249223227065,-0.10584775599439873,-0.07811249223227065,-0.25790495096598526,-0.134353924931167,-0.04432744430778117,-0.1728415305161464,-0.18222997856620213,-0.17284153051614626,0.4244005659397145,0.45879129666228846,0.42440056593971454,0.20537860544543593,-0.0407789493268915,-0.2001154435724862,0.05138675873505219,0.015062234588692009,-0.0013942049916052816,-0.1475222406698433
5,0.0,-0.09316457834725062,0.0,0.0,0.0850958769353991,0.0,-0.10096860968107335,-0.05117702079638814,0.1016457843049068,0.0,-0.11033689283895835,0.0,0.0,-0.07391274857927899,0.0,0.24972234034054305,-0.150459982301683,-0.3384693048402258,-0.5020604882095008,0.6015626922085584,-0.05941576733170275,-0.33039432975060584,-0.08074941238019152,0.03023686471648154,-0.5020604882095008,-0.5713873423542253,-0.5020604882095007,0.6015626922085584,0.662646460860044,0.6015626922085584,-0.3270381900180188,-0.08755745186083393,0.10027941824992406,-0.33039432975060584,-0.44103284774745044,-0.3303943297506058,-0.08074941238019152,-0.09016095788631023,-0.08074941238019152,0.278687427150696,-0.11956734642696636,-0.3017231601774506,0.06357481369019978,0.017497744056446135,0.4757270497280572,0.2416438436946892
